Name,Industry,Sector,Headquarters,Founded,Notes,"Status (P=Private, S=State; A=Active, D=Defunct)"
Nemetschek,Technology,Software,Munich,1963,Software,P | A
Nero,Technology,Software,Karlsruhe,1995,Software,P | A
Netto Marken-Discount,Consumer services,Food retailers & wholesalers,Maxhütte-Haidhof,1984,"Supermarkets, part of Edeka",P | A
Nordzucker,Consumer goods,Food products,Braunschweig,1997,Sugar,P | A
NSU Motorenwerke,Consumer goods,Automobiles,Neckarsulm,1873,"Now part of Audi, defunct",P | D
Opel,Consumer goods,Automobiles,Rüsselsheim am Main,1862,"Automotive, part of Groupe PSA (France)",P | A
Orenstein & Koppel,Industrials,Industrial vehicles & trucks,Berlin,1876,Defunct 1999,P | D
Osram,Industrials,Building materials & fixtures,Munich,1919,Lighting,P | A
Otto GmbH,Consumer services,Broadline retailers,Hamburg,1949,Mail order company,P | A
Otto Bock,Health care,Medical equipment,Duderstadt,1919,"Wheel chairs, prosthetics",P | A
Paulaner Brewery,Consumer goods,Brewers,Munich,1634,"Brewery, part of Brau Holding International",P | A
PCC,Basic materials,Speciality chemicals,Duisburg,1993,"Chemicals, energy, logistics",P | A
Penny,Consumer services,Food retailers & wholesalers,Cologne,1973,"Supermarkets, part of REWE Group",P | A
Philipp Holzmann,Industrials,Heavy construction,Frankfurt,1849,Defunct 2002,P | D
Phoenix Contact,Industrials,Industrial machinery,Blomberg,1923,Automation,P | A
Plus,Consumer services,Food retailers & wholesalers,Mülheim,1972,"Part of Edeka, defunct 2009",P | D
Porsche,Consumer goods,Automobiles,Stuttgart,1931,"High performance vehicles, part of Volkswagen Group",P | A
ProSiebenSat.1,Consumer services,Broadcasting & entertainment,Unterföhring,2000,Mass media,P | A
PTV Group,Technology,Software,Karlsruhe,1979,Software design and consulting,P | A
PUMA,Consumer goods,Clothing & accessories,Herzogenaurach,1948,Shoes & sports apparel & accessories manufacturer,P | A
Putzmeister,Industrials,Industrial machinery,Aichtal,1958,Concrete pumps,P | A
Radeberger Brewery,Consumer goods,Brewers,Radeberg,1872,"Brewery, part of Dr. Oetker",P | A
Recaro,Industrials,Industrial suppliers,Stuttgart,1906,Vehicle seating,P | A
Reemtsma,Consumer goods,Tobacco,Hamburg,1910,Tobacco and cigarette,P | A
Rehau Group,Industrials,Industrial suppliers,Rehau,1948,Polymer-based products supplier,P | A
REWE Group,Consumer services,Food retailers & wholesalers,Cologne,1927,"Supermarkets, retail",P | A
Rheinmetall,Industrials,Defense,Düsseldorf,1889,Defense and automotive,P | A
Rimowa,Consumer goods,Luggage,Cologne,1898,"Luggage and travel accessories, acquired by LVMH in 2016",P | A
Ritter Sport,Consumer goods,Food products,Waldenbuch,1912,Chocolates,P | A
Robert Bosch GmbH,Conglomerate,-,Waldenbuch,1886,"Automotive parts, home appliances, engineering, computing",P | A
Rohde & Schwarz,Industrials,Electronic equipment,Munich,1933,Electronics,P | A
ROSE Bikes,Consumer goods,Recreational products,Bocholt,1907,Bicycles,P | A
RRI Rhein Ruhr International,Industrials,Industrial machinery,Essen,1942,Engineering,P | A
RUF Automobile,Consumer goods,Automobiles,Pfaffenhausen,1939,Automotive,P | A
RWE,Utilities,Electricity,Essen,1898,Electric generation and distribution,P | A
SABA,Consumer goods,Consumer electronics,Triberg im Schwarzwald,1923,"Radios, defunct 1980",P | D
Salzgitter,Basic materials,Iron & steel,Salzgitter,1937,Steel producer,P | A
SAP,Technology,Software,Walldorf,1972,Enterprise software,P | A
Ströer,mass media,billboard,Cologne,1990,online advertising,P | A
Schaeffler Group,Industrials,Industrial suppliers,Herzogenaurach,1883,Automotive parts,P | A
Schaller Guitarenparts,Consumer goods,Recreational products,Postbauer-Heng,1945,Musical instruments,P | A
Schering,Health care,Pharmaceuticals,Berlin,1851,"Defunct 2006, now part of Bayer",P | D
Schmitz Cargobull,Industrials,Commercial Vehicles & Trucks,Horstmar,1892,Trailers and truck bodies,P | A
Schott,Basic materials,Speciality chemicals,Mainz,1884,"Industrial glass, part of Carl-Zeiss-Stiftung",P | A
Schwan-Stabilo,Consumer goods,Nondurable household products,Heroldsberg,1855,Writing instruments,P | A
Schwarz Gruppe,Consumer services,Food retailers & wholesalers,Neckarsulm,1973,Supermarket holding company,P | A
Schwind eye-tech-solutions,Health care,Medical equipment,Kleinostheim,1958,Medical technology,P | A
Sebamed,Consumer goods,Personal products,Boppard,1957,Skin care products,P | A
Seca,Health care,Medical equipment,Hamburg,1840,Medical scales and measuring instruments,P | A
Sennheiser,Consumer goods,Consumer electronics,Wedemark,1945,Audio electronics,P | A
Severin Elektro,Consumer goods,Consumer electronics,Sundern,1892,Household appliances,P | A
SEW Eurodrive,Industrials,General industrials,Bruchsal,1931,Electric motors,P | A
Signal Iduna,Financials,Full line insurance,Dortmund/Hamburg,1907,Insurance,P | A
SGL Carbon,Basic materials,Chemicals,Wiesbaden,1992,Chemicals,P | A
Siemens,Conglomerates,-,Berlin,1847,"Industrials, energy, health care",P | A
SIG Sauer,Industrials,Defense,Eckernförde,1976,Firearms,P | A
SimScale,Technology,Software,Munich[4],2012,Engineering simulation software,P | A
SkySails,Industrials,Industrial machinery,Hamburg,2001,Marine propulsion by wind energy,P | A
Smart,Consumer goods,Automobiles,Böblingen,1994,"Automotive, part of Mercedes-Benz Group",P | A
Software,Technology,Software,Darmstadt,1969,Enterprise software,P | A
SolarWorld,Industrials,Industrial machinery,Bonn,1988,Photovoltaics,P | A
Sonor,Consumer goods,Recreational products,Berlin,1875,Musical instruments,P | A
Sortimo,Industrials,Industrial suppliers,Zusmarshausen,1973,In-vehicle equipment,P | A
Staedtler,Consumer goods,Nondurable household products,Nuremberg,1835,Writing instruments,P | A
Steinway & Sons,Consumer goods,Recreational products,Hamburg,1853,Musical instruments,P | A
Stihl,Basic materials,Forestry,Waiblingen,1926,"Forestry equipment, garden tools",P | A
Südzucker,Consumer goods,Food products,Mannheim,1926,Sugar,P | A
Symrise,Personal products,"Flavours, gustatory and cosmetic substances",Holzminden,2003,"Flavours, gustatory and cosmetic substances",P | A
Talanx,Financials,Full line insurance,Hanover,1996,Commercial insurance,P | A
Tchibo,Consumer services,Broadline retailers,Hamburg,1949,"Consumer goods, retail",P | A
Telefunken,Consumer goods,Consumer electronics,Berlin,1903,Defunct 1967,P | D
Tengelmann Group,Consumer services,Broadline retailers,Mülheim,1867,Retail holding company,P | A
Tente International,Industrials,General industrials,Cologne,1923,Wheels and castors,P | A
Tetra,Consumer services,Specialty retailers,Melle,1951,Fishkeeping supplies,P | A
The Linde Group,Basic materials,Speciality chemicals,Munich,1879,Industrial gas production and plant engineering,P | A
ThyssenKrupp,Conglomerates,-,Duisburg,1999,"Steel, engineering, shipyards",P | A
trivago,Technology,Internet,Düsseldorf,2005,"Hotel and travel search, part of Expedia, Inc. (US)",P | A
Trumpf,Industrials,Industrial machinery,Ditzingen,1923,Machine tools,P | A
T-Systems,Technology,Software,Frankfurt,2000,Part of Deutsche Telekom,P | A
TUI Group,Consumer services,Travel & leisure,Hanover,1923,"Hospitality, tourism",P | A
Uhlsport,Consumer goods,Clothing & accessories,Balingen,1948,Shoes & sports apparel & accessories manufacturer,P | A
Ulla Popken,Consumer goods,Clothing & accessories,Rastede,1880,Clothing,P | A
Ultrasone,Consumer goods,Consumer electronics,Tutzing,1991,Audio electronics,P | A
Underberg,Consumer goods,Brewers,Rheinberg,1846,Bitters,P | A
United Internet,Telecommunications,Fixed line telecommunications,Montabaur,1988,ISP,P | A
Vaude,Consumer goods,Recreational products,Tettnang,1974,"Clothing, mountain sports equipment",P | A
Vector Informatik,Technology,Software,Stuttgart,1988,Software,P | A
Veltins,Consumer goods,Brewers,Meschede,1824,Brewery,P | A
Vereinigte Flugtechnische Werke,Industrials,Aerospace,Bremen,1964,Defunct 1981,P | D
Viessmann,Industrials,General industrials,Allendorf (Eder),1917,Heating systems,P | A
Villeroy & Boch,Consumer goods,Durable household products,Mettlach,1748,Ceramics,P | A
Voith,Industrials,Industrial engineering,Heidenheim an der Brenz,1867,Mechanical engineering,P | A
Volkswagen Group,Consumer goods,Automobiles,Wolfsburg,1937,Automotive,P | A
Vonovia,Financials,Real estate,Bochum,2001,Real estate,P | A
Vossloh,Industrials,Industrial transportation,Werdohl,1888,Railway systems engineering,P | A
Vitesco Technologies,Industrials,Industrial suppliers,Regensburg,2019,Automotive parts,P | A
Wacker Chemie,Basic materials,Chemicals,Munich,1914,Chemicals,P | A
Wacker Neuson,Industrials,Construction & materials,Munich,1848,Construction equipment,P | A
WAGO Kontakttechnik,Industrials,Electrical components & equipment,Minden,1951,Electrical components,P | A
Warsteiner,Consumer goods,Brewers,Warstein,1753,Brewery,P | A
Wella,Consumer goods,Personal products,Darmstadt,1880,Hair care and cosmetics,P | A
Wera Werk Hermann Werner,Consumer goods,Durable household products,Wuppertal,1936,Tools,P | A
Werner & Mertz,Consumer goods,Personal products,Mainz,1867,Chemical industry,P | A
Weser Flugzeugbau,Industrials,Aerospace,Bremen,1934,Defunct 1964,P | D
Wilkhahn,Consumer goods,Furnishings,Bad Münder,1907,Office furniture,P | A
Wintershall,Oil & gas,Exploration & production,Kassel,1894,Part of BASF,P | A
Wirecard,Financials,Financial services,Aschheim,1999,Payment solutions,P | A
Wittenstein,Industrials,Industrial engineering,Igersheim,1949,Mechanical engineering,P | A
Wolff & Müller,Industrials,Heavy construction,Stuttgart,1936,Construction,P | A
Wortmann,Technology,Computer hardware,Hüllhorst,1986,Computer manufacturer,P | A
WTS Group,Conglomerates,International consulting,Munich,2000,"Tax, legal and business",P | A
Würth,Industrials,General industrials,Künzelsau,1945,Fasteners,P | A
Wüsthof,Consumer goods,Durable household products,Solingen,1814,Kitchen knives,P | A
ZF Friedrichshafen,Industrials,Industrial suppliers,Friedrichshafen,1915,Automotive parts,P | A
Ziehl-Abegg,Industrials,Electrical components & equipment,Künzelsau,1910,Electrical components,P | A
A. Lange & Söhne,Consumer goods,Clothing & accessories,Glashütte,1845,"Watches, owned by Richemont",P | A
Aareal Bank,Financials,Banks,Wiesbaden,1922,Banking and financial services,P | A
Adidas,Consumer goods,Clothing & accessories,Herzogenaurach,1924,Shoes & sports apparel & accessories manufacturer,P | A
Aldi,Consumer services,Food retailers & wholesalers,Essen,1913,Discount retail chains,P | A
Allianz,Financials,Full line insurance,Munich,1890,Insurance and asset management,P | A
Alpina,Consumer goods,Automobiles,Buchloe,1965,"Automotive manufacturer, part of BMW",P | A
Altana,Basic materials,Speciality chemicals,Wesel,1977,Chemicals,P | A
Aral,Consumer services,Specialty retailers,Bochum,1898,Part of BP,P | A
Arburg,Industrials,Industrial machinery,Loßburg,1923,Machinery and injection molding,P | A
Arcandor,Consumer services,Broadline retailers,Essen,1999,Defunct 2009,P | D
Arcor,Telecommunications,Fixed line telecommunications,Eschborn,1996,"Telecom, part of Vodafone (UK)",P | A
Armedangels,Consumer goods,Clothing & accessories,Cologne,2007,Fashion,P | A
Audi,Consumer goods,Automobiles,Ingolstadt,1910,"Auto manufacturer, part of Volkswagen Group",P | A
August Storck,Consumer goods,Food products,Berlin,1903,Confectionery,P | A
Aurubis,Basic materials,Nonferrous metals,Hamburg,2008,Copper manufacturing,P | A
Auto Union,Consumer goods,Automobiles,Neckarsulm,1932,"Defunct, now part of Audi",P | D
Axel Springer,Consumer services,Publishing,Berlin,1946,Digital publishing,P | A
B. Braun,Health care,Pharmaceuticals,Melsungen,1839,Medical devices and pharma,P | A
Babelsberg Studio,Consumer services,Broadcasting & entertainment,Potsdam,1912,Film studio,P | A
Bahlsen,Consumer goods,Food products,Hanover,1889,Biscuits and cakes,P | A
BASF,Basic materials,Speciality chemicals,Ludwigshafen,1865,Largest chemical producer in the world.,P | A
Bavaria Film Studios,Consumer services,Broadcasting & entertainment,Grünwald,1919,Film studio,P | A
Bayer,Health care,Pharmaceuticals,Leverkusen,1863,Chemicals and pharmaceuticals,P | A
BayWa,Consumer goods,Farming & fishing,Munich,1923,Agribusiness conglomerate,P | A
BBS Kraftfahrzeugtechnik,Consumer goods,Auto parts,Schiltach,1970,Automotive parts,P | A
Bechtle,Technology,Software,Neckarsulm,1983,Information technology services,P | A
Beck's Brewery,Consumer goods,Brewers,Bremen,1873,Alcoholic beverages,P | A
Behr GmbH & Co. KG,Industrials,Industrial suppliers,Stuttgart,1905,Part of Mahle GmbH,P | A
Behringer,Consumer goods,Consumer electronics,Willich,1989,Audio systems,P | A
Beiersdorf,Consumer goods,Personal products,Hamburg,1882,Cosmetics,P | A
Bellevue Investments,Technology,Software,Berlin,1993,Software holding company,P | A
Benecke-Kaliko,Industrials,Industrial suppliers,Hanover,1718,Automotive parts,P | A
Bertelsmann,Consumer services,Broadcasting & entertainment,Gütersloh,1835,Mass media,P | A
Beyerdynamic,Consumer goods,Consumer electronics,Heilbronn,1924,Audio electronics,P | A
Bilfinger,Industrials,Heavy construction,Mannheim,1880,"Construction, engineering and services",P | A
Birkenstock,Consumer goods,Clothing & accessories,Neustadt,1774,Shoes manufacturer,P | A
Bitburger Brewery,Consumer goods,Brewers,Bitburg,1817,Brewery,P | A
BioNTech,Healthcare,Vaccine,Mainz,2008,Biotechnology,P | A
Blohm+Voss,Industrials,Commercial vehicles & trucks,Hamburg,1877,"Shipyard, part of Lürssen",P | A
BMG Rights Management,Consumer services,Broadcasting & entertainment,Berlin,2008,"Music, part of Bertelsmann",P | A
BMW,Consumer goods,Automobiles,Munich,1916,Automotive,P | A
Boehringer Ingelheim,Health care,Pharmaceuticals,Ingelheim am Rhein,1885,Pharmaceuticals,P | A
BOMAG,Industrials,Commercial vehicles & trucks,Boppard,1957,Mechanical engineering,P | A
Brabus,Consumer services,Specialty retailers,Bottrop,1977,Automotive modifications and tuning,P | A
Braun,Consumer goods,Personal products,Kronberg,1921,"Razors and small appliances, part of Procter & Gamble (US)",P | A
Brenntag,Basic materials,Commodity chemicals,Mülheim,1874,Chemical distribution,P | A
C. Bechstein,Consumer goods,Recreational products,Berlin,1853,Musical instruments,P | A
C. Illies & Co.,Industrials,Business support services,Hamburg,1859,Engineering and export,P | A
Carl Walther GmbH,Industrials,Defense,Ulm,1886,Firearms,P | A
Carl Zeiss,Health care,Medical equipment,Oberkochen,1846,Optical systems,P | A
CureVac,Health care,Vaccine,Tübingen,2000,Biotechnology,P | A
Celesio,Health care,Pharmaceuticals,Stuttgart,1835,"Pharmaceuticals, defunct 2017, now part of McKesson",P | D
CineStar,Consumer services,Recreational services,Lübeck,1948,Cinemas,P | A
Circus Krone,Consumer services,Broadcasting & entertainment,Munich,1905,"Circus, entertainment",P | A
Claas,Industrials,Commercial vehicles & trucks,Harsewinkel,1913,Agricultural machinery,P | A
Commerzbank,Financials,Banks,Frankfurt,1870,Banking,P | A
Condor Flugdienst,Consumer services,Airlines,Frankfurt,1955,"Leisure airline, part of Thomas Cook Group (UK)",P | A
Continental,Industrials,Industrial suppliers,Hanover,1871,"Auto parts and supplies, part of Schaeffler Group",P | A
Covestro,Basic materials,Speciality chemicals,Leverkusen,2015,"Materials and coatings, part of Bayer",P | A
Mercedes-Benz Group,Consumer goods,Automobiles,Stuttgart,2007,Multinational automotive firm,P | A
Dba,Consumer services,Airlines,Munich,1992,"Low-cost airline, defunct 2008",P | D
Delton,Conglomerates,-,Bad Homburg vor der Höhe,1989,"Pharma, consumer goods, logistics",P | A
Der Spiegel,Consumer services,Publishing,Hamburg,1947,Weekly news magazine,P | A
Deutsche Bahn,Industrials,Railroads,Berlin,1994,State railways,S | A
Deutsche Bank,Financials,Banks,Frankfurt,1870,Banking,P | A
Deutsche Börse,Financials,Investment services,Frankfurt,1992,Securities marketplace,P | A
Deutsche Grammophon,Consumer goods,Broadcasting & entertainment,Hanover,1898,"Phonogramm producer, producer of the first Compact disc, now part of Universal Music Group (US)",P | A
Deutsche Messe,Consumer services,Recreational services,Hanover,1947,Largest fairground in the world,P | A
Deutsche Pfandbriefbank,Financials,Banks,Unterschleißheim,2015,Real estate financing bank,P | A
Deutsche Post,Industrials,Delivery services,Bonn,1995,Postal services,P | A
Deutsche Telekom,Telecommunications,Fixed line telecommunications,Bonn,1995,Telecommunications,P | A
Deutsche Vermögensberatung,Financials,Asset managers,Frankfurt,1975,Financial advice,P | A
Deutz,Industrials,Industrial machinery,Cologne,1864,Mechanical engineering,P | A
DHL,Industrials,Delivery services,Bonn,1969,"Logistics, part of Deutsche Post",P | A
Dieffenbacher,Industrials,Industrial machinery,Eppingen,1873,Machinery,P | A
Diehl Aerospace,Industrials,Aerospace,Überlingen,2006,Avionics,P | A
Diehl Defence,Industrials,Defense,Überlingen,2004,Arms,P | A
Diehl Metall,Industrials,Industrial machinery,Röthenbach an der Pegnitz,1938,"Metals, forges",P | A
Diezel,Consumer goods,Recreational products,Bad Steben,1994,Guitar amplifiers,P | A
Djshop,Consumer services,Broadcasting & entertainment,Vachendorf,1993,Online dance music retail store,P | A
DKW,Consumer goods,Automobile,?,1905,"Defunct 1932, now part of Audi",P | D
Douglas,Consumer services,Specialty retailers,Düsseldorf,1910,Perfume and cosmetics retailer,P | A
Dr. Oetker,Consumer goods,Food products,Bielefeld,1891,Food producer,P | A
Dräger,Health care,Medical equipment,Lübeck,1889,Medical technology,P | A
Dresdner Bank,Financials,Banks,Frankfurt,1872,"Now part of Commerzbank, defunct 2009",P | D
Dürr Group,Industrials,Industrial machinery,Stuttgart,1895,Plant and machinery construction,P | A
DVB Bank,Financials,Banks,Frankfurt,1923,Financials,P | A
E.ON,Utilities,Electricity,Essen,2000,Electric power,P | A
Eberhard Faber,Consumer goods,Nondurable household products,Neumarkt in der Oberpfalz,1922,Part of Staedtler,P | A
ebm-papst,Industrials,Industrial machinery,Mulfingen,1963,Electric motors and fans,P | A
Edeka,Consumer services,Food retailers & wholesalers,Berlin,1898,Supermarkets,P | A
ElringKlinger,Industrials,Industrial suppliers,Dettingen an der Erms,1879,Automotive parts,P | A
EnBW,Utilities,Electricity,Karlsruhe,1997,Electric power,P | A
EnOcean,Consumer goods,Consumer electronics,Oberhaching,2001,Electronics,P | A
Entwicklungsring Nord,Industrials,Aerospace,Bremen,1961,"Rocket parts, defunct 1977",P | D
Epcos,Consumer goods,Consumer electronics,Munich,1999,Electronics,P | A
E-Plus,Telecommunications,Mobile telecommunications,Düsseldorf,1992,"Mobile network, part of Telefónica Germany",P | A
Eurowings,Consumer services,Airlines,Düsseldorf,1990,Part of Lufthansa,P | A
Evonik Industries,Basic materials,Speciality chemicals,Essen,2007,Specialty chemicals,P | A
Faber-Castell,Consumer goods,Nondurable household products,Stein,1761,Writing instruments,P | A
Fein,Consumer goods,Durable household products,Schwäbisch Gmünd,1867,Power tools,P | A
Fendt,Industrials,Commercial vehicles & tractors,Marktoberdorf,1930,Agricultural machinery,P | A
Ferrostaal,Industrials,Industrial machinery,Essen,1920,"Industrial services, machinery",P | A
Festo,Industrials,Industrial machinery,Esslingen am Neckar,1925,Automation,P | A
Fischertechnik,Consumer goods,Toys,Waldachtal,1966,Construction sets,P | A
Fissler,Consumer goods,Durable household products,Idar-Oberstein,1845,Cookware manufacturer,P | A
Focke-Achgelis,Industrials,Aerospace,Hoykenkamp,1937,Defunct helicopter manufacturer,P | D
Focke-Wulf,Industrials,Aerospace,Bremen,1923,"Aircraft manufacturer, defunct 1964",P | D
Fond of Bags,Consumer goods,Clothing & accessories,Cologne,2010,Backpacks,P | A
Ford Germany,Consumer goods,Automobiles,Cologne,1925,"Automobile manufacturer, part of Ford Motor Company (US)",P | A
